Date,Naspers,Standard Bank,FirstRand,Sasol,MTN Group,Anglo American
2020-01-02,46741.8203125,16807.4921875,6302.1591796875,30347.044921875,8347.3681640625,39658.859375
2020-01-03,47071.76171875,16652.16015625,6208.49951171875,31161.0234375,8105.876953125,39601.25390625
2020-01-06,46867.79296875,16268.8173828125,5983.3154296875,31795.232421875,8022.05419921875,39232.18359375
2020-01-07,47153.74609375,16281.763671875,6018.18994140625,31495.607421875,8023.052734375,39117.9453125
2020-01-08,46491.86328125,16365.40234375,6014.203125,31103.095703125,7944.2197265625,39172.625
2020-01-09,46815.609375,16348.4765625,6044.095703125,30258.154296875,7929.2509765625,38833.81640625
2020-01-10,47501.68359375,16416.18359375,5998.26171875,30961.275390625,8349.36328125,39248.7890625
2020-01-13,47772.23828125,16311.6357421875,5910.57958984375,30811.46484375,8242.587890625,39757.4765625
2020-01-14,48516.69921875,16732.81640625,6027.15673828125,30062.3984375,8278.513671875,39722.33984375
2020-01-15,48991.421875,16778.62109375,6041.1064453125,29038.681640625,8302.4619140625,39343.48828125
2020-01-16,49001.421875,16772.64453125,6036.1240234375,27892.115234375,8409.236328125,40094.328125
2020-01-17,50201.41015625,16372.3681640625,5980.32666015625,27271.890625,8382.29296875,41415.38671875
2020-01-20,50391.1796875,16329.5576171875,5953.42431640625,27280.87890625,8334.39453125,41524.7421875
2020-01-21,49404.55078125,16399.2578125,5990.2900390625,27182.001953125,8264.5419921875,40739.71875
2020-01-22,49718.30078125,16335.529296875,6082.9541015625,26670.640625,8304.458984375,40432.1640625
2020-01-23,48591.49609375,16160.2861328125,6017.1923828125,25966.521484375,8212.65234375,39195.078125
2020-01-24,49333.1640625,16284.75,6018.18994140625,26416.958984375,8230.6123046875,39472.375
2020-01-27,47540.875,15896.427734375,5923.53271484375,25431.19140625,8070.95166015625,37969.72265625
2020-01-28,47527.07421875,15921.31640625,5898.62255859375,25438.185546875,8082.92578125,38026.33984375
2020-01-29,49027.21875,16051.75390625,5925.525390625,25936.560546875,8153.7763671875,38131.8046875
2020-01-30,49190.3828125,16092.578125,5931.50390625,25617.9609375,8241.5908203125,38251.89453125
2020-01-31,49205.78125,15680.357421875,5759.12890625,23887.125,8061.9697265625,38140.58984375
2020-02-03,49902.86328125,15768.9755859375,5742.189453125,23420.708984375,8070.95166015625,37740.26171875
2020-02-04,51755.9375,16128.423828125,5841.82861328125,23470.642578125,8099.8896484375,38702.015625
2020-02-05,52294.04296875,16429.126953125,5956.4130859375,24519.33203125,8254.5634765625,38909.0
2020-02-06,52380.83203125,16703.939453125,6053.06298828125,24069.892578125,8185.708984375,39035.93359375
2020-02-07,52471.61328125,16591.4296875,5898.62255859375,23370.76953125,8219.6376953125,38653.1953125
2020-02-10,52102.6875,16463.974609375,5882.6806640625,22189.25,8265.5400390625,38351.48046875
2020-02-11,52850.7421875,16528.693359375,5926.5224609375,23015.21484375,8293.4814453125,38512.58203125
2020-02-12,53242.671875,16777.625,6056.052734375,24029.943359375,8791.4287109375,40328.66796875
2020-02-13,53878.96484375,16603.375,6047.0849609375,23721.330078125,8766.4814453125,40375.53515625
2020-02-14,54140.5234375,16553.58984375,6107.86474609375,23769.26953125,8703.6162109375,39863.90625
2020-02-17,54550.44921875,16609.3515625,6147.7197265625,23021.205078125,8801.4072265625,40263.24609375
2020-02-18,54115.52734375,16678.052734375,6152.7021484375,22671.642578125,8797.416015625,39499.71484375
2020-02-19,54017.94140625,16691.9921875,6197.53955078125,22272.14453125,8781.4501953125,39516.3125
2020-02-20,54070.53125,16180.201171875,6082.9541015625,22586.75,8841.3232421875,40499.53515625
2020-02-21,53282.8671875,15884.4775390625,5933.49658203125,21381.2578125,8720.578125,40546.39453125
2020-02-24,51022.8671875,15035.140625,5694.36279296875,20674.142578125,8261.5478515625,37151.5078125
2020-02-25,52130.0703125,14954.4892578125,5619.63330078125,20410.470703125,8086.91748046875,37799.82421875
2020-02-26,51889.11328125,16142.36328125,5942.462890625,19481.634765625,8025.0478515625,37181.77734375
2020-02-27,50391.1796875,15009.25390625,5676.42724609375,18521.833984375,7822.4765625,35771.87109375
2020-02-28,47610.46875,14786.2138671875,5492.09521484375,18566.77734375,7354.46484375,34501.59765625
2020-03-02,48991.421875,14921.630859375,5468.1826171875,18796.4921875,7501.15478515625,35664.47265625
2020-03-03,48991.421875,14985.3544921875,5480.14013671875,19258.912109375,7684.76708984375,37167.1328125
2020-03-04,48991.421875,15180.5146484375,5601.69873046875,18601.734375,7740.6494140625,36559.80859375
2020-03-05,49984.25390625,15198.4365234375,5570.810546875,16952.794921875,7774.57763671875,35938.8359375
2020-03-06,49386.3515625,14945.52734375,5266.912109375,15952.0478515625,7633.87451171875,33685.32421875
2020-03-09,47228.53515625,14208.7060546875,4981.9453125,8524.3388671875,6481.30908203125,30635.1015625
2020-03-10,49310.37109375,14421.7861328125,5207.12841796875,7158.04736328125,6376.53125,31510.919921875
2020-03-11,49610.70703125,14042.423828125,5209.12109375,5265.4140625,6266.7626953125,30468.0234375
2020-03-12,45654.609375,13253.826171875,4940.09619140625,3719.348388671875,5427.53515625,26440.388671875
2020-03-13,44432.2265625,13159.2314453125,4932.12548828125,5071.65673828125,5427.53515625,27083.98828125
2020-03-16,40604.6875,11848.8857421875,4455.8505859375,4468.4111328125,4758.94775390625,24924.65234375
2020-03-17,40901.0390625,11895.6826171875,4277.498046875,3664.4169921875,4453.5927734375,25452.0390625
2020-03-18,38407.27734375,10378.2294921875,3666.711669921875,3395.7529296875,3885.7919921875,22418.615234375
2020-03-19,40978.625,9857.4755859375,3377.75830078125,3016.2275390625,3921.716064453125,20602.076171875
2020-03-20,43092.45703125,9986.9189453125,3682.653564453125,2710.609619140625,3583.4306640625,22552.4140625
2020-03-23,42889.69140625,8872.724609375,3377.75830078125,2185.266845703125,2941.7861328125,21376.546875
2020-03-24,46591.83984375,9727.0380859375,3843.072265625,2422.969482421875,3293.044189453125,24826.015625
2020-03-25,49051.01171875,10258.74609375,3995.51953125,2319.099609375,3613.367431640625,26734.357421875
